Cloudlet;Status ;CloudletLen;StartTime;FinishTime;ExecTime

6;SUCCESS;5068841;0;5069;5069
29;SUCCESS;5093084;0;5093;5093
30;SUCCESS;5339600;0;5340;5340
4;SUCCESS;5431124;0;5431;5431
27;SUCCESS;5539461;0;5540;5540
7;SUCCESS;5540206;0;5540;5540
1;SUCCESS;5613106;0;5613;5613
19;SUCCESS;5779503;0;5780;5780
11;SUCCESS;5844398;0;5845;5845
23;SUCCESS;6135605;0;6136;6136
14;SUCCESS;6278833;0;6279;6279
35;SUCCESS;6313753;0;6314;6314
21;SUCCESS;6326952;0;6327;6327
40;SUCCESS;6583225;0;6583;6583
24;SUCCESS;6595075;0;6595;6595
28;SUCCESS;6653776;0;6654;6654
8;SUCCESS;6691234;0;6691;6691
12;SUCCESS;6785594;0;6786;6786
9;SUCCESS;6874215;0;6874;6874
20;SUCCESS;6984948;0;6985;6985
37;SUCCESS;7079237;0;7079;7079
5;SUCCESS;7157080;0;7157;7157
0;SUCCESS;7297421;0;7298;7298
33;SUCCESS;7805748;0;7806;7806
18;SUCCESS;7945159;0;7945;7945
3;SUCCESS;8026326;0;8027;8026
26;SUCCESS;8068214;0;8068;8068
16;SUCCESS;8233978;0;8234;8234
38;SUCCESS;8282543;0;8283;8283
2;SUCCESS;8366644;0;8367;8367
17;SUCCESS;8488185;0;8488;8488
22;SUCCESS;8584820;0;8585;8585
13;SUCCESS;8954376;0;8955;8954
10;SUCCESS;8970362;0;8971;8970
31;SUCCESS;9118403;0;9119;9119
25;SUCCESS;9288594;0;9289;9289
36;SUCCESS;9324588;0;9325;9325
39;SUCCESS;9341988;0;9342;9342
41;SUCCESS;9396946;0;9397;9397
15;SUCCESS;9544914;0;9545;9545
32;SUCCESS;9752188;0;9752;9752
34;SUCCESS;9953992;0;9954;9954
